pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805

pos[0] = 138.396286	pos[1] = 142.396458	pos[2] = 88.178570
angle[0] = -0.558408	angle[1] = 0.235023	angle[2] = 1.405012

pos[0] = 138.416382	pos[1] = 142.237682	pos[2] = 88.210743
angle[0] = -0.558408	angle[1] = 0.233799	angle[2] = 1.405012

pos[0] = 138.338608	pos[1] = 142.131817	pos[2] = 88.288990
angle[0] = -0.557996	angle[1] = 0.232983	angle[2] = 1.405012

pos[0] = 138.358505	pos[1] = 141.972975	pos[2] = 88.320862
angle[0] = -0.557996	angle[1] = 0.231759	angle[2] = 1.405012

pos[0] = 138.287125	pos[1] = 141.814079	pos[2] = 88.409458
angle[0] = -0.557585	angle[1] = 0.230535	angle[2] = 1.405012

pos[0] = 138.306808	pos[1] = 141.655136	pos[2] = 88.441025
angle[0] = -0.557585	angle[1] = 0.229311	angle[2] = 1.405012

pos[0] = 138.326385	pos[1] = 141.496168	pos[2] = 88.472435
angle[0] = -0.557585	angle[1] = 0.228087	angle[2] = 1.405012

pos[0] = 138.254623	pos[1] = 141.337135	pos[2] = 88.560535
angle[0] = -0.557174	angle[1] = 0.226863	angle[2] = 1.405012

pos[0] = 138.273987	pos[1] = 141.178062	pos[2] = 88.591618
angle[0] = -0.557174	angle[1] = 0.225638	angle[2] = 1.405012

pos[0] = 138.293259	pos[1] = 141.018955	pos[2] = 88.622543
angle[0] = -0.557174	angle[1] = 0.224414	angle[2] = 1.405012

pos[0] = 138.312408	pos[1] = 140.859793	pos[2] = 88.653290
angle[0] = -0.557174	angle[1] = 0.223190	angle[2] = 1.405012

pos[0] = 138.240143	pos[1] = 140.700581	pos[2] = 88.740719
angle[0] = -0.556763	angle[1] = 0.221966	angle[2] = 1.405012

pos[0] = 138.259094	pos[1] = 140.541344	pos[2] = 88.771164
angle[0] = -0.556763	angle[1] = 0.220742	angle[2] = 1.405012

pos[0] = 138.277924	pos[1] = 140.382051	pos[2] = 88.801422
angle[0] = -0.556763	angle[1] = 0.219518	angle[2] = 1.405012

pos[0] = 138.296646	pos[1] = 140.222710	pos[2] = 88.831505
angle[0] = -0.556763	angle[1] = 0.218294	angle[2] = 1.405012

pos[0] = 138.223907	pos[1] = 140.063339	pos[2] = 88.918312
angle[0] = -0.556352	angle[1] = 0.217070	angle[2] = 1.405012

pos[0] = 138.242401	pos[1] = 139.903912	pos[2] = 88.948063
angle[0] = -0.556352	angle[1] = 0.215846	angle[2] = 1.405012

pos[0] = 138.260803	pos[1] = 139.744442	pos[2] = 88.977657
angle[0] = -0.556352	angle[1] = 0.214622	angle[2] = 1.405012

pos[0] = 138.279114	pos[1] = 139.584932	pos[2] = 89.007095
angle[0] = -0.556352	angle[1] = 0.213398	angle[2] = 1.405012

pos[0] = 138.291275	pos[1] = 139.478577	pos[2] = 89.026638
angle[0] = -0.556352	angle[1] = 0.212582	angle[2] = 1.405012

pos[0] = 138.217941	pos[1] = 139.318991	pos[2] = 89.112640
angle[0] = -0.555940	angle[1] = 0.211358	angle[2] = 1.405012

pos[0] = 138.235977	pos[1] = 139.159386	pos[2] = 89.141670
angle[0] = -0.555940	angle[1] = 0.210133	angle[2] = 1.405012

pos[0] = 138.259842	pos[1] = 138.946491	pos[2] = 89.180061
angle[0] = -0.555940	angle[1] = 0.208501	angle[2] = 1.405012

pos[0] = 138.271698	pos[1] = 138.840012	pos[2] = 89.199165
angle[0] = -0.555940	angle[1] = 0.207685	angle[2] = 1.405012

pos[0] = 138.289413	pos[1] = 138.680281	pos[2] = 89.227680
angle[0] = -0.555940	angle[1] = 0.206461	angle[2] = 1.405012

pos[0] = 138.307022	pos[1] = 138.520489	pos[2] = 89.256012
angle[0] = -0.555940	angle[1] = 0.205237	angle[2] = 1.405012

pos[0] = 138.324524	pos[1] = 138.360657	pos[2] = 89.284187
angle[0] = -0.555940	angle[1] = 0.204013	angle[2] = 1.405012

pos[0] = 138.250351	pos[1] = 138.200788	pos[2] = 89.369053
angle[0] = -0.555529	angle[1] = 0.202789	angle[2] = 1.405012

pos[0] = 138.267639	pos[1] = 138.040895	pos[2] = 89.396900
angle[0] = -0.555529	angle[1] = 0.201565	angle[2] = 1.405012

pos[0] = 138.284821	pos[1] = 137.880943	pos[2] = 89.424591
angle[0] = -0.555529	angle[1] = 0.200341	angle[2] = 1.405012

pos[0] = 138.301910	pos[1] = 137.720966	pos[2] = 89.452103
angle[0] = -0.555529	angle[1] = 0.199117	angle[2] = 1.405012

pos[0] = 138.318878	pos[1] = 137.560938	pos[2] = 89.479458
angle[0] = -0.555529	angle[1] = 0.197893	angle[2] = 1.405012

pos[0] = 138.244095	pos[1] = 137.400869	pos[2] = 89.563496
angle[0] = -0.555118	angle[1] = 0.196669	angle[2] = 1.405012

pos[0] = 138.260864	pos[1] = 137.240759	pos[2] = 89.590519
angle[0] = -0.555118	angle[1] = 0.195445	angle[2] = 1.405012

pos[0] = 138.277527	pos[1] = 137.080626	pos[2] = 89.617390
angle[0] = -0.555118	angle[1] = 0.194220	angle[2] = 1.405012

pos[0] = 138.294067	pos[1] = 136.920441	pos[2] = 89.644077
angle[0] = -0.555118	angle[1] = 0.192996	angle[2] = 1.405012

pos[0] = 138.310532	pos[1] = 136.760214	pos[2] = 89.670609
angle[0] = -0.555118	angle[1] = 0.191772	angle[2] = 1.405012

pos[0] = 138.326859	pos[1] = 136.599970	pos[2] = 89.696957
angle[0] = -0.555118	angle[1] = 0.190548	angle[2] = 1.405012

pos[0] = 138.251373	pos[1] = 136.439667	pos[2] = 89.780022
angle[0] = -0.554707	angle[1] = 0.189324	angle[2] = 1.405012

pos[0] = 138.267487	pos[1] = 136.279331	pos[2] = 89.806042
angle[0] = -0.554707	angle[1] = 0.188100	angle[2] = 1.405012

pos[0] = 138.278183	pos[1] = 136.172426	pos[2] = 89.823292
angle[0] = -0.554707	angle[1] = 0.187284	angle[2] = 1.405012

pos[0] = 138.197617	pos[1] = 135.958441	pos[2] = 89.898273
angle[0] = -0.554296	angle[1] = 0.186060	angle[2] = 1.404605

pos[0] = 138.213455	pos[1] = 135.798006	pos[2] = 89.923859
angle[0] = -0.554296	angle[1] = 0.184836	angle[2] = 1.404605

pos[0] = 138.229202	pos[1] = 135.637547	pos[2] = 89.949287
angle[0] = -0.554296	angle[1] = 0.183612	angle[2] = 1.404605

pos[0] = 138.244827	pos[1] = 135.477036	pos[2] = 89.974533
angle[0] = -0.554296	angle[1] = 0.182388	angle[2] = 1.404605

pos[0] = 138.158630	pos[1] = 135.316437	pos[2] = 90.040466
angle[0] = -0.553884	angle[1] = 0.181572	angle[2] = 1.404197

pos[0] = 138.168945	pos[1] = 135.209385	pos[2] = 90.057129
angle[0] = -0.553884	angle[1] = 0.180756	angle[2] = 1.404197

pos[0] = 138.082581	pos[1] = 135.048744	pos[2] = 90.122856
angle[0] = -0.553473	angle[1] = 0.179940	angle[2] = 1.403790

pos[0] = 138.083282	pos[1] = 134.834515	pos[2] = 90.124001
angle[0] = -0.553473	angle[1] = 0.179123	angle[2] = 1.402975

pos[0] = 138.078812	pos[1] = 134.673826	pos[2] = 90.116756
angle[0] = -0.553473	angle[1] = 0.178715	angle[2] = 1.402160

pos[0] = 138.074265	pos[1] = 134.513163	pos[2] = 90.109409
angle[0] = -0.553473	angle[1] = 0.178307	angle[2] = 1.401345

pos[0] = 137.977783	pos[1] = 134.352495	pos[2] = 90.158741
angle[0] = -0.553062	angle[1] = 0.177899	angle[2] = 1.400530

pos[0] = 137.973129	pos[1] = 134.191837	pos[2] = 90.151211
angle[0] = -0.553062	angle[1] = 0.177491	angle[2] = 1.399715

pos[0] = 137.958511	pos[1] = 134.031216	pos[2] = 90.127529
angle[0] = -0.553062	angle[1] = 0.177491	angle[2] = 1.398493

pos[0] = 137.953735	pos[1] = 133.870611	pos[2] = 90.119789
angle[0] = -0.553062	angle[1] = 0.177083	angle[2] = 1.397678

pos[0] = 137.857010	pos[1] = 133.709999	pos[2] = 90.168682
angle[0] = -0.552651	angle[1] = 0.176675	angle[2] = 1.396863

pos[0] = 137.852127	pos[1] = 133.549419	pos[2] = 90.160759
angle[0] = -0.552651	angle[1] = 0.176267	angle[2] = 1.396048

pos[0] = 137.852188	pos[1] = 133.335247	pos[2] = 90.160862
angle[0] = -0.552651	angle[1] = 0.175451	angle[2] = 1.395233

pos[0] = 137.755280	pos[1] = 133.174681	pos[2] = 90.209381
angle[0] = -0.552240	angle[1] = 0.175043	angle[2] = 1.394418

pos[0] = 137.755173	pos[1] = 132.960533	pos[2] = 90.209198
angle[0] = -0.552240	angle[1] = 0.174227	angle[2] = 1.393603

pos[0] = 137.750046	pos[1] = 132.799973	pos[2] = 90.200886
angle[0] = -0.552240	angle[1] = 0.173819	angle[2] = 1.392788

pos[0] = 137.652924	pos[1] = 132.639421	pos[2] = 90.249092
angle[0] = -0.551828	angle[1] = 0.173411	angle[2] = 1.391973

pos[0] = 137.652771	pos[1] = 132.532364	pos[2] = 90.248833
angle[0] = -0.551828	angle[1] = 0.173003	angle[2] = 1.391565

pos[0] = 137.647491	pos[1] = 132.371834	pos[2] = 90.240253
angle[0] = -0.551828	angle[1] = 0.172595	angle[2] = 1.390750

pos[0] = 137.550201	pos[1] = 132.211311	pos[2] = 90.288181
angle[0] = -0.551417	angle[1] = 0.172187	angle[2] = 1.389935

pos[0] = 137.554825	pos[1] = 132.050640	pos[2] = 90.295696
angle[0] = -0.551417	angle[1] = 0.171371	angle[2] = 1.389528

pos[0] = 137.457413	pos[1] = 131.890150	pos[2] = 90.343399
angle[0] = -0.551006	angle[1] = 0.170963	angle[2] = 1.388713

pos[0] = 137.457092	pos[1] = 131.783085	pos[2] = 90.342880
angle[0] = -0.551006	angle[1] = 0.170555	angle[2] = 1.388305

pos[0] = 137.456390	pos[1] = 131.568970	pos[2] = 90.341736
angle[0] = -0.551006	angle[1] = 0.169739	angle[2] = 1.387490

pos[0] = 137.364014	pos[1] = 131.461920	pos[2] = 90.397617
angle[0] = -0.550595	angle[1] = 0.169331	angle[2] = 1.387083

pos[0] = 137.358398	pos[1] = 131.301439	pos[2] = 90.388462
angle[0] = -0.550595	angle[1] = 0.168923	angle[2] = 1.386268

pos[0] = 137.270737	pos[1] = 131.140741	pos[2] = 90.451996
angle[0] = -0.550184	angle[1] = 0.168107	angle[2] = 1.385860

pos[0] = 137.270248	pos[1] = 131.033697	pos[2] = 90.451214
angle[0] = -0.550184	angle[1] = 0.167699	angle[2] = 1.385453

pos[0] = 137.269745	pos[1] = 130.926649	pos[2] = 90.450382
angle[0] = -0.550184	angle[1] = 0.167291	angle[2] = 1.385046

pos[0] = 137.176636	pos[1] = 130.712526	pos[2] = 90.505066
angle[0] = -0.549772	angle[1] = 0.166475	angle[2] = 1.384230

pos[0] = 137.176071	pos[1] = 130.605480	pos[2] = 90.504154
angle[0] = -0.549772	angle[1] = 0.166067	angle[2] = 1.383823

pos[0] = 137.083420	pos[1] = 130.498432	pos[2] = 90.559582
angle[0] = -0.549361	angle[1] = 0.165659	angle[2] = 1.383416

pos[0] = 137.082184	pos[1] = 130.284313	pos[2] = 90.557552
angle[0] = -0.549361	angle[1] = 0.164843	angle[2] = 1.382601

pos[0] = 137.081528	pos[1] = 130.177269	pos[2] = 90.556484
angle[0] = -0.549361	angle[1] = 0.164435	angle[2] = 1.382193

pos[0] = 136.988052	pos[1] = 129.963165	pos[2] = 90.610569
angle[0] = -0.548950	angle[1] = 0.163618	angle[2] = 1.381378

pos[0] = 136.987320	pos[1] = 129.856108	pos[2] = 90.609371
angle[0] = -0.548950	angle[1] = 0.163210	angle[2] = 1.380971

pos[0] = 136.894470	pos[1] = 129.749069	pos[2] = 90.664459
angle[0] = -0.548539	angle[1] = 0.162802	angle[2] = 1.380563

pos[0] = 136.898285	pos[1] = 129.588333	pos[2] = 90.670712
angle[0] = -0.548539	angle[1] = 0.161986	angle[2] = 1.380156

pos[0] = 136.799988	pos[1] = 129.427916	pos[2] = 90.716846
angle[0] = -0.548128	angle[1] = 0.161578	angle[2] = 1.379341

pos[0] = 136.799149	pos[1] = 129.320871	pos[2] = 90.715466
angle[0] = -0.548128	angle[1] = 0.161170	angle[2] = 1.378933

pos[0] = 136.706131	pos[1] = 129.213835	pos[2] = 90.770294
angle[0] = -0.547716	angle[1] = 0.160762	angle[2] = 1.378526

pos[0] = 136.709763	pos[1] = 129.053057	pos[2] = 90.776234
angle[0] = -0.547716	angle[1] = 0.159946	angle[2] = 1.378118

pos[0] = 136.708847	pos[1] = 128.946011	pos[2] = 90.774750
angle[0] = -0.547716	angle[1] = 0.159538	angle[2] = 1.377711

pos[0] = 136.615738	pos[1] = 128.838974	pos[2] = 90.829407
angle[0] = -0.547305	angle[1] = 0.159130	angle[2] = 1.377303

pos[0] = 136.614777	pos[1] = 128.731937	pos[2] = 90.827820
angle[0] = -0.547305	angle[1] = 0.158722	angle[2] = 1.376896

pos[0] = 136.526047	pos[1] = 128.571138	pos[2] = 90.889687
angle[0] = -0.546894	angle[1] = 0.157906	angle[2] = 1.376488

pos[0] = 136.525040	pos[1] = 128.464098	pos[2] = 90.888016
angle[0] = -0.546894	angle[1] = 0.157498	angle[2] = 1.376081

pos[0] = 136.426300	pos[1] = 128.303757	pos[2] = 90.933422
angle[0] = -0.546483	angle[1] = 0.157090	angle[2] = 1.375266

pos[0] = 136.429626	pos[1] = 128.142962	pos[2] = 90.938900
angle[0] = -0.546483	angle[1] = 0.156274	angle[2] = 1.374858

pos[0] = 136.428513	pos[1] = 128.035910	pos[2] = 90.937073
angle[0] = -0.546483	angle[1] = 0.155866	angle[2] = 1.374451

pos[0] = 136.335159	pos[1] = 127.928871	pos[2] = 90.991295
angle[0] = -0.546072	angle[1] = 0.155458	angle[2] = 1.374043

pos[0] = 136.332825	pos[1] = 127.714796	pos[2] = 90.987461
angle[0] = -0.546072	angle[1] = 0.154642	angle[2] = 1.373228

pos[0] = 136.239365	pos[1] = 127.607752	pos[2] = 91.041523
angle[0] = -0.545660	angle[1] = 0.154234	angle[2] = 1.372821

pos[0] = 136.238144	pos[1] = 127.500719	pos[2] = 91.039513
angle[0] = -0.545660	angle[1] = 0.153826	angle[2] = 1.372414

pos[0] = 136.241226	pos[1] = 127.339914	pos[2] = 91.044575
angle[0] = -0.545660	angle[1] = 0.153010	angle[2] = 1.372006

pos[0] = 136.147659	pos[1] = 127.232849	pos[2] = 91.098465
angle[0] = -0.545249	angle[1] = 0.152602	angle[2] = 1.371598

pos[0] = 136.146347	pos[1] = 127.125816	pos[2] = 91.096325
angle[0] = -0.545249	angle[1] = 0.152194	angle[2] = 1.371191

pos[0] = 136.145035	pos[1] = 127.018780	pos[2] = 91.094162
angle[0] = -0.545249	angle[1] = 0.151786	angle[2] = 1.370784

pos[0] = 136.050018	pos[1] = 126.804701	pos[2] = 91.145638
angle[0] = -0.544838	angle[1] = 0.150970	angle[2] = 1.369969

pos[0] = 136.048645	pos[1] = 126.697653	pos[2] = 91.143368
angle[0] = -0.544838	angle[1] = 0.150562	angle[2] = 1.369561

pos[0] = 135.954910	pos[1] = 126.590630	pos[2] = 91.196934
angle[0] = -0.544427	angle[1] = 0.150154	angle[2] = 1.369154

pos[0] = 135.953476	pos[1] = 126.483603	pos[2] = 91.194584
angle[0] = -0.544427	angle[1] = 0.149746	angle[2] = 1.368746

pos[0] = 135.956223	pos[1] = 126.322741	pos[2] = 91.199100
angle[0] = -0.544427	angle[1] = 0.148930	angle[2] = 1.368339

pos[0] = 135.862366	pos[1] = 126.215712	pos[2] = 91.252510
angle[0] = -0.544016	angle[1] = 0.148522	angle[2] = 1.367931

pos[0] = 135.860870	pos[1] = 126.108686	pos[2] = 91.250027
angle[0] = -0.544016	angle[1] = 0.148114	angle[2] = 1.367524

pos[0] = 135.857773	pos[1] = 125.894601	pos[2] = 91.244911
angle[0] = -0.544016	angle[1] = 0.147297	angle[2] = 1.366709

pos[0] = 135.763824	pos[1] = 125.787580	pos[2] = 91.298145
angle[0] = -0.543604	angle[1] = 0.146889	angle[2] = 1.366301

pos[0] = 135.762222	pos[1] = 125.680556	pos[2] = 91.295509
angle[0] = -0.543604	angle[1] = 0.146481	angle[2] = 1.365894

pos[0] = 135.764694	pos[1] = 125.519707	pos[2] = 91.299583
angle[0] = -0.543604	angle[1] = 0.145665	angle[2] = 1.365486

pos[0] = 135.670639	pos[1] = 125.412653	pos[2] = 91.352650
angle[0] = -0.543193	angle[1] = 0.145257	angle[2] = 1.365079

pos[0] = 135.668976	pos[1] = 125.305634	pos[2] = 91.349880
angle[0] = -0.543193	angle[1] = 0.144849	angle[2] = 1.364671

pos[0] = 135.573135	pos[1] = 125.091591	pos[2] = 91.399979
angle[0] = -0.542782	angle[1] = 0.144033	angle[2] = 1.363856

pos[0] = 135.571396	pos[1] = 124.984543	pos[2] = 91.397079
angle[0] = -0.542782	angle[1] = 0.143625	angle[2] = 1.363449

pos[0] = 135.569626	pos[1] = 124.877527	pos[2] = 91.394150
angle[0] = -0.542782	angle[1] = 0.143217	angle[2] = 1.363041

pos[0] = 135.479416	pos[1] = 124.716654	pos[2] = 91.453529
angle[0] = -0.542371	angle[1] = 0.142401	angle[2] = 1.362634

pos[0] = 135.471771	pos[1] = 124.556469	pos[2] = 91.440853
angle[0] = -0.542371	angle[1] = 0.141993	angle[2] = 1.361819

pos[0] = 135.377487	pos[1] = 124.449441	pos[2] = 91.493484
angle[0] = -0.541960	angle[1] = 0.141585	angle[2] = 1.361411

pos[0] = 135.379547	pos[1] = 124.288568	pos[2] = 91.496910
angle[0] = -0.541960	angle[1] = 0.140769	angle[2] = 1.361004

pos[0] = 135.377640	pos[1] = 124.181540	pos[2] = 91.493744
angle[0] = -0.541960	angle[1] = 0.140361	angle[2] = 1.360596

pos[0] = 135.283234	pos[1] = 124.074518	pos[2] = 91.546181
angle[0] = -0.541548	angle[1] = 0.139953	angle[2] = 1.360189

pos[0] = 135.285172	pos[1] = 123.913628	pos[2] = 91.549397
angle[0] = -0.541548	angle[1] = 0.139137	angle[2] = 1.359781

pos[0] = 135.190704	pos[1] = 123.806618	pos[2] = 91.601711
angle[0] = -0.541137	angle[1] = 0.138729	angle[2] = 1.359374

pos[0] = 135.188690	pos[1] = 123.699576	pos[2] = 91.598362
angle[0] = -0.541137	angle[1] = 0.138321	angle[2] = 1.358966

pos[0] = 135.180756	pos[1] = 123.539458	pos[2] = 91.585155
angle[0] = -0.541137	angle[1] = 0.137913	angle[2] = 1.358151

pos[0] = 135.090012	pos[1] = 123.378565	pos[2] = 91.643681
angle[0] = -0.540726	angle[1] = 0.137097	angle[2] = 1.357744

pos[0] = 135.087906	pos[1] = 123.271534	pos[2] = 91.640175
angle[0] = -0.540726	angle[1] = 0.136689	angle[2] = 1.357336

pos[0] = 134.993271	pos[1] = 123.164534	pos[2] = 91.692162
angle[0] = -0.540315	angle[1] = 0.136281	angle[2] = 1.356929

pos[0] = 134.991135	pos[1] = 123.057536	pos[2] = 91.688602
angle[0] = -0.540315	angle[1] = 0.135873	angle[2] = 1.356521

pos[0] = 134.988968	pos[1] = 122.950542	pos[2] = 91.684994
angle[0] = -0.540315	angle[1] = 0.135465	angle[2] = 1.356114

pos[0] = 134.898010	pos[1] = 122.789599	pos[2] = 91.743126
angle[0] = -0.539904	angle[1] = 0.134649	angle[2] = 1.355706

pos[0] = 134.895782	pos[1] = 122.682604	pos[2] = 91.739410
angle[0] = -0.539904	angle[1] = 0.134241	angle[2] = 1.355299

pos[0] = 134.800980	pos[1] = 122.575612	pos[2] = 91.791142
angle[0] = -0.539492	angle[1] = 0.133833	angle[2] = 1.354892

pos[0] = 134.798706	pos[1] = 122.468616	pos[2] = 91.787346
angle[0] = -0.539492	angle[1] = 0.133425	angle[2] = 1.354484

pos[0] = 134.796417	pos[1] = 122.361612	pos[2] = 91.783524
angle[0] = -0.539492	angle[1] = 0.133017	angle[2] = 1.354077

pos[0] = 134.701538	pos[1] = 122.254609	pos[2] = 91.835087
angle[0] = -0.539081	angle[1] = 0.132609	angle[2] = 1.353669

pos[0] = 134.699219	pos[1] = 122.147621	pos[2] = 91.831207
angle[0] = -0.539081	angle[1] = 0.132200	angle[2] = 1.353262

pos[0] = 134.696869	pos[1] = 122.040637	pos[2] = 91.827282
angle[0] = -0.539081	angle[1] = 0.131792	angle[2] = 1.352854

pos[0] = 134.601883	pos[1] = 121.933638	pos[2] = 91.878670
angle[0] = -0.538670	angle[1] = 0.131384	angle[2] = 1.352447

pos[0] = 134.599503	pos[1] = 121.826644	pos[2] = 91.874687
angle[0] = -0.538670	angle[1] = 0.130976	angle[2] = 1.352039

pos[0] = 134.504456	pos[1] = 121.719660	pos[2] = 91.925949
angle[0] = -0.538259	angle[1] = 0.130568	angle[2] = 1.351632

pos[0] = 134.502029	pos[1] = 121.612684	pos[2] = 91.921886
angle[0] = -0.538259	angle[1] = 0.130160	angle[2] = 1.351224

pos[0] = 134.406937	pos[1] = 121.505694	pos[2] = 91.973061
angle[0] = -0.537848	angle[1] = 0.129752	angle[2] = 1.350817

pos[0] = 134.404449	pos[1] = 121.398705	pos[2] = 91.968895
angle[0] = -0.537848	angle[1] = 0.129344	angle[2] = 1.350409

pos[0] = 134.401947	pos[1] = 121.291735	pos[2] = 91.964699
angle[0] = -0.537848	angle[1] = 0.128936	angle[2] = 1.350002

pos[0] = 134.306747	pos[1] = 121.184767	pos[2] = 92.015701
angle[0] = -0.537436	angle[1] = 0.128528	angle[2] = 1.349594

pos[0] = 134.304214	pos[1] = 121.077781	pos[2] = 92.011456
angle[0] = -0.537436	angle[1] = 0.128120	angle[2] = 1.349187

pos[0] = 134.208969	pos[1] = 120.970800	pos[2] = 92.062336
angle[0] = -0.537025	angle[1] = 0.127712	angle[2] = 1.348779

pos[0] = 134.208969	pos[1] = 120.970800	pos[2] = 92.062336
angle[0] = -0.537025	angle[1] = 0.127712	angle[2] = 1.348779

pos[0] = 134.206390	pos[1] = 120.863837	pos[2] = 92.058010
angle[0] = -0.537025	angle[1] = 0.127304	angle[2] = 1.348372

pos[0] = 134.111084	pos[1] = 120.756877	pos[2] = 92.108799
angle[0] = -0.536614	angle[1] = 0.126896	angle[2] = 1.347964

pos[0] = 134.108444	pos[1] = 120.649901	pos[2] = 92.104366
angle[0] = -0.536614	angle[1] = 0.126488	angle[2] = 1.347557

pos[0] = 134.013077	pos[1] = 120.542941	pos[2] = 92.155025
angle[0] = -0.536203	angle[1] = 0.126080	angle[2] = 1.347149

pos[0] = 134.010422	pos[1] = 120.435971	pos[2] = 92.150539
angle[0] = -0.536203	angle[1] = 0.125672	angle[2] = 1.346742

pos[0] = 134.007721	pos[1] = 120.329019	pos[2] = 92.146004
angle[0] = -0.536203	angle[1] = 0.125264	angle[2] = 1.346334

pos[0] = 133.912262	pos[1] = 120.222053	pos[2] = 92.196495
angle[0] = -0.535792	angle[1] = 0.124856	angle[2] = 1.345927

pos[0] = 133.909531	pos[1] = 120.115106	pos[2] = 92.191906
angle[0] = -0.535792	angle[1] = 0.124448	angle[2] = 1.345519

pos[0] = 133.816788	pos[1] = 120.115106	pos[2] = 92.246941
angle[0] = -0.535380	angle[1] = 0.124448	angle[2] = 1.345519

pos[0] = 133.814011	pos[1] = 120.008143	pos[2] = 92.242271
angle[0] = -0.535380	angle[1] = 0.124040	angle[2] = 1.345112

pos[0] = 133.811249	pos[1] = 119.901198	pos[2] = 92.237598
angle[0] = -0.535380	angle[1] = 0.123632	angle[2] = 1.344704

pos[0] = 133.715668	pos[1] = 119.794240	pos[2] = 92.287880
angle[0] = -0.534969	angle[1] = 0.123224	angle[2] = 1.344297

pos[0] = 133.712845	pos[1] = 119.687303	pos[2] = 92.283127
angle[0] = -0.534969	angle[1] = 0.122816	angle[2] = 1.343889

pos[0] = 133.710007	pos[1] = 119.580364	pos[2] = 92.278320
angle[0] = -0.534969	angle[1] = 0.122408	angle[2] = 1.343482

pos[0] = 133.620590	pos[1] = 119.526349	pos[2] = 92.338985
angle[0] = -0.534558	angle[1] = 0.122000	angle[2] = 1.343482

pos[0] = 133.614334	pos[1] = 119.473415	pos[2] = 92.328426
angle[0] = -0.534558	angle[1] = 0.122000	angle[2] = 1.343074

pos[0] = 133.611465	pos[1] = 119.366466	pos[2] = 92.323570
angle[0] = -0.534558	angle[1] = 0.121592	angle[2] = 1.342667

pos[0] = 133.515747	pos[1] = 119.259533	pos[2] = 92.373581
angle[0] = -0.534147	angle[1] = 0.121184	angle[2] = 1.342259

pos[0] = 133.512802	pos[1] = 119.152606	pos[2] = 92.368618
angle[0] = -0.534147	angle[1] = 0.120776	angle[2] = 1.341852

pos[0] = 133.516129	pos[1] = 119.098578	pos[2] = 92.374237
angle[0] = -0.534147	angle[1] = 0.120368	angle[2] = 1.341852

pos[0] = 133.417023	pos[1] = 119.045665	pos[2] = 92.418507
angle[0] = -0.533736	angle[1] = 0.120368	angle[2] = 1.341444

pos[0] = 133.414047	pos[1] = 118.938725	pos[2] = 92.413464
angle[0] = -0.533736	angle[1] = 0.119960	angle[2] = 1.341037

pos[0] = 133.411072	pos[1] = 118.831804	pos[2] = 92.408421
angle[0] = -0.533736	angle[1] = 0.119552	angle[2] = 1.340629

pos[0] = 133.315201	pos[1] = 118.724886	pos[2] = 92.458130
angle[0] = -0.533324	angle[1] = 0.119144	angle[2] = 1.340222

pos[0] = 133.318497	pos[1] = 118.670848	pos[2] = 92.463699
angle[0] = -0.533324	angle[1] = 0.118736	angle[2] = 1.340222

pos[0] = 133.315445	pos[1] = 118.563931	pos[2] = 92.458523
angle[0] = -0.533324	angle[1] = 0.118328	angle[2] = 1.339815

pos[0] = 133.216263	pos[1] = 118.511026	pos[2] = 92.502625
angle[0] = -0.532913	angle[1] = 0.118328	angle[2] = 1.339407

pos[0] = 133.213181	pos[1] = 118.404114	pos[2] = 92.497395
angle[0] = -0.532913	angle[1] = 0.117920	angle[2] = 1.339000

pos[0] = 133.210083	pos[1] = 118.297220	pos[2] = 92.492138
angle[0] = -0.532913	angle[1] = 0.117512	angle[2] = 1.338592

pos[0] = 133.114075	pos[1] = 118.190312	pos[2] = 92.541611
angle[0] = -0.532502	angle[1] = 0.117104	angle[2] = 1.338185

pos[0] = 133.117310	pos[1] = 118.136263	pos[2] = 92.547081
angle[0] = -0.532502	angle[1] = 0.116695	angle[2] = 1.338185

pos[0] = 133.114151	pos[1] = 118.029341	pos[2] = 92.541718
angle[0] = -0.532502	angle[1] = 0.116287	angle[2] = 1.337777

pos[0] = 133.110962	pos[1] = 117.922437	pos[2] = 92.536327
angle[0] = -0.532502	angle[1] = 0.115879	angle[2] = 1.337370

pos[0] = 133.014877	pos[1] = 117.815536	pos[2] = 92.585629
angle[0] = -0.532091	angle[1] = 0.115471	angle[2] = 1.336962

pos[0] = 133.011658	pos[1] = 117.708620	pos[2] = 92.580158
angle[0] = -0.532091	angle[1] = 0.115063	angle[2] = 1.336555

pos[0] = 133.008408	pos[1] = 117.601709	pos[2] = 92.574635
angle[0] = -0.532091	angle[1] = 0.114655	angle[2] = 1.336147

pos[0] = 133.005157	pos[1] = 117.494816	pos[2] = 92.569111
angle[0] = -0.532091	angle[1] = 0.114247	angle[2] = 1.335740

pos[0] = 133.001877	pos[1] = 117.387926	pos[2] = 92.563538
angle[0] = -0.532091	angle[1] = 0.113839	angle[2] = 1.335332

